change_id,title,description,status,risk,scheduled_for,approval_state
CHG-000001,App Release,Minor upgrade,Approved,Medium,2024-02-19,Not Required
CHG-000002,App Release,Minor upgrade,Rolled Back,Low,2025-06-26,Not Required
CHG-000003,DB Upgrade,Capacity increase,Rolled Back,High,2025-02-20,Rejected
CHG-000004,OS Patch,Feature rollout,Implemented,Low,2023-06-12,Not Required
CHG-000005,Storage Expansion,Monthly patching,Approved,High,2025-10-01,Not Required
CHG-000006,OS Patch,Security fix,Failed,Low,2024-09-19,CAB Approved
CHG-000007,Network Firmware,Feature rollout,Rolled Back,Low,2023-01-22,Not Required
CHG-000008,Storage Expansion,Feature rollout,Failed,High,2023-04-14,Rejected
CHG-000009,Storage Expansion,Minor upgrade,Approved,Medium,2023-08-19,Requested
CHG-000010,App Release,Capacity increase,In Progress,Low,2024-09-14,CAB Approved
CHG-000011,DB Upgrade,Capacity increase,Failed,Low,2024-07-21,CAB Approved
CHG-000012,App Release,Feature rollout,Rolled Back,High,2023-04-03,Rejected
CHG-000013,Storage Expansion,Security fix,Rolled Back,High,2023-02-22,Not Required
CHG-000014,Storage Expansion,Security fix,In Progress,Low,2024-06-20,Requested
CHG-000015,Network Firmware,Minor upgrade,In Progress,High,2024-10-05,Not Required
CHG-000016,OS Patch,Minor upgrade,Approved,High,2024-03-25,Requested
CHG-000017,OS Patch,Monthly patching,Approved,High,2023-05-01,Rejected
CHG-000018,OS Patch,Security fix,Implemented,Medium,2023-06-07,CAB Approved
CHG-000019,DB Upgrade,Feature rollout,Failed,Medium,2025-08-20,CAB Approved
CHG-000020,OS Patch,Capacity increase,Failed,High,2025-01-09,CAB Approved
CHG-000021,OS Patch,Security fix,Approved,High,2025-05-02,Not Required
CHG-000022,OS Patch,Monthly patching,Implemented,High,2024-11-28,Rejected
CHG-000023,OS Patch,Monthly patching,In Progress,High,2024-04-13,Requested
CHG-000024,Network Firmware,Capacity increase,Failed,High,2023-03-07,Not Required
CHG-000025,App Release,Monthly patching,Planned,Low,2025-05-11,Not Required
CHG-000026,Storage Expansion,Minor upgrade,Planned,Medium,2025-06-12,Rejected
CHG-000027,DB Upgrade,Feature rollout,In Progress,Low,2025-05-13,Requested
CHG-000028,App Release,Security fix,Approved,Low,2024-07-22,CAB Approved
CHG-000029,OS Patch,Capacity increase,Failed,High,2025-11-22,CAB Approved
CHG-000030,Storage Expansion,Minor upgrade,Failed,Low,2024-05-20,Rejected
CHG-000031,Storage Expansion,Feature rollout,Approved,Low,2025-03-19,CAB Approved
CHG-000032,DB Upgrade,Security fix,Rolled Back,High,2025-03-14,CAB Approved
CHG-000033,App Release,Minor upgrade,In Progress,Low,2025-09-24,Requested
CHG-000034,DB Upgrade,Security fix,Approved,High,2023-06-14,Not Required
CHG-000035,Network Firmware,Capacity increase,Rolled Back,High,2025-05-05,CAB Approved
CHG-000036,OS Patch,Minor upgrade,Approved,Low,2025-10-09,CAB Approved
CHG-000037,App Release,Minor upgrade,Approved,High,2023-06-03,Not Required
CHG-000038,DB Upgrade,Feature rollout,Failed,Medium,2025-11-12,CAB Approved
CHG-000039,Storage Expansion,Capacity increase,Implemented,Low,2023-04-08,Requested
CHG-000040,Storage Expansion,Monthly patching,In Progress,Medium,2023-12-22,CAB Approved
CHG-000041,DB Upgrade,Monthly patching,Approved,Medium,2025-08-23,Rejected
CHG-000042,Storage Expansion,Minor upgrade,Implemented,Medium,2023-10-24,Not Required
CHG-000043,Network Firmware,Capacity increase,Failed,High,2025-10-18,Requested
CHG-000044,App Release,Monthly patching,Implemented,Medium,2023-04-17,Not Required
