from_instance_id,to_instance_id
IP-0001,SUB-0142
IP-0002,SUB-0113
IP-0003,SUB-0114
IP-0004,SUB-0122
IP-0005,SUB-0039
IP-0006,SUB-0053
IP-0007,SUB-0146
IP-0008,SUB-0034
IP-0009,SUB-0076
IP-0010,SUB-0061
IP-0011,SUB-0038
IP-0012,SUB-0019
IP-0013,SUB-0081
IP-0014,SUB-0094
IP-0015,SUB-0091
IP-0016,SUB-0071
IP-0017,SUB-0081
IP-0018,SUB-0078
IP-0019,SUB-0074
IP-0020,SUB-0060
IP-0021,SUB-0012
IP-0022,SUB-0122
IP-0023,SUB-0112
IP-0024,SUB-0118
IP-0025,SUB-0010
IP-0026,SUB-0054
IP-0027,SUB-0093
IP-0028,SUB-0141
IP-0029,SUB-0030
IP-0030,SUB-0035
IP-0031,SUB-0072
IP-0032,SUB-0129
IP-0033,SUB-0033
IP-0034,SUB-0052
IP-0035,SUB-0053
IP-0036,SUB-0103
IP-0037,SUB-0097
IP-0038,SUB-0051
IP-0039,SUB-0099
IP-0040,SUB-0103
IP-0041,SUB-0135
IP-0042,SUB-0137
IP-0043,SUB-0019
IP-0044,SUB-0122
IP-0045,SUB-0034
IP-0046,SUB-0087
IP-0047,SUB-0141
IP-0048,SUB-0038
IP-0049,SUB-0065
IP-0050,SUB-0079
IP-0051,SUB-0035
IP-0052,SUB-0023
IP-0053,SUB-0060
IP-0054,SUB-0060
IP-0055,SUB-0094
IP-0056,SUB-0075
IP-0057,SUB-0148
IP-0058,SUB-0053
IP-0059,SUB-0037
IP-0060,SUB-0084
IP-0061,SUB-0009
IP-0062,SUB-0083
IP-0063,SUB-0007
IP-0064,SUB-0027
IP-0065,SUB-0009
IP-0066,SUB-0055
IP-0067,SUB-0119
IP-0068,SUB-0068
IP-0069,SUB-0093
IP-0070,SUB-0115
IP-0071,SUB-0048
IP-0072,SUB-0131
IP-0073,SUB-0035
IP-0074,SUB-0137
IP-0075,SUB-0036
IP-0076,SUB-0047
IP-0077,SUB-0093
IP-0078,SUB-0114
IP-0079,SUB-0043
IP-0080,SUB-0082
IP-0081,SUB-0019
IP-0082,SUB-0051
IP-0083,SUB-0102
IP-0084,SUB-0058
IP-0085,SUB-0017
IP-0086,SUB-0107
IP-0087,SUB-0030
IP-0088,SUB-0062
IP-0089,SUB-0023
IP-0090,SUB-0041
IP-0091,SUB-0040
IP-0092,SUB-0038
IP-0093,SUB-0125
IP-0094,SUB-0033
IP-0095,SUB-0025
IP-0096,SUB-0124
IP-0097,SUB-0149
IP-0098,SUB-0005
IP-0099,SUB-0062
IP-0100,SUB-0010
IP-0101,SUB-0111
IP-0102,SUB-0019
IP-0103,SUB-0001
IP-0104,SUB-0122
IP-0105,SUB-0145
IP-0106,SUB-0030
IP-0107,SUB-0131
IP-0108,SUB-0068
IP-0109,SUB-0046
IP-0110,SUB-0123
IP-0111,SUB-0115
IP-0112,SUB-0110
IP-0113,SUB-0149
IP-0114,SUB-0146
IP-0115,SUB-0021
IP-0116,SUB-0081
IP-0117,SUB-0123
IP-0118,SUB-0115
IP-0119,SUB-0027
IP-0120,SUB-0113
IP-0121,SUB-0121
IP-0122,SUB-0125
IP-0123,SUB-0111
IP-0124,SUB-0078
IP-0125,SUB-0104
IP-0126,SUB-0125
IP-0127,SUB-0143
IP-0128,SUB-0149
IP-0129,SUB-0122
IP-0130,SUB-0090
IP-0131,SUB-0088
IP-0132,SUB-0066
IP-0133,SUB-0014
IP-0134,SUB-0066
IP-0135,SUB-0122
IP-0136,SUB-0125
IP-0137,SUB-0128
IP-0138,SUB-0026
IP-0139,SUB-0005
IP-0140,SUB-0025
IP-0141,SUB-0098
IP-0142,SUB-0064
IP-0143,SUB-0041
IP-0144,SUB-0149
IP-0145,SUB-0046
IP-0146,SUB-0067
IP-0147,SUB-0048
IP-0148,SUB-0101
IP-0149,SUB-0111
IP-0150,SUB-0136
